[2024-10-18T16:03:57.336+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T15:58:45.154710+00:00 [queued]>
[2024-10-18T16:03:57.345+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T15:58:45.154710+00:00 [queued]>
[2024-10-18T16:03:57.345+0000] {taskinstance.py:1359} INFO - Starting attempt 2 of 4
[2024-10-18T16:03:58.223+0000] {logging_mixin.py:151} INFO - Processed 218230 Already! Sorry Try another
[2024-10-18T16:03:58.224+0000] {logging_mixin.py:151} INFO - Processed 294770 Already! Sorry Try another
[2024-10-18T16:03:58.224+0000] {logging_mixin.py:151} INFO - Processed 39660 Already! Sorry Try another
[2024-10-18T16:03:58.225+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 774941...
[2024-10-18T16:03:58.555+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 774941
[2024-10-18T16:03:58.556+0000] {logging_mixin.py:151} INFO - Processed 589290 Already! Sorry Try another
[2024-10-18T16:03:58.556+0000] {logging_mixin.py:151} INFO - Processed 2543510 Already! Sorry Try another
[2024-10-18T16:03:58.557+0000] {logging_mixin.py:151} INFO - Processed 3263740 Already! Sorry Try another
[2024-10-18T16:03:58.557+0000] {logging_mixin.py:151} INFO - Processed 1116390 Already! Sorry Try another
[2024-10-18T16:03:58.558+0000] {logging_mixin.py:151} INFO - Processed 1200770 Already! Sorry Try another
[2024-10-18T16:03:58.558+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 1326030...
[2024-10-18T16:03:58.879+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 1326030
[2024-10-18T16:03:58.881+0000] {logging_mixin.py:151} INFO - Processed 1603640 Already! Sorry Try another
[2024-10-18T16:03:58.881+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 2051010...
